city,avgCoveredCharges,averagePayments
BATESVILLE,30792,8981
BENTON,23468,7933
CONWAY,21612,7792
EL DORADO,46028,8320
FAYETTEVILLE,34697,9271
FORT SMITH,22405,8177
HARRISON,23325,8520
HELENA,40341,9407
HOPE,21816,8570
HOT SPRINGS,49702,8915
JACKSONVILLE,18376,7890
JONESBORO,21584,9126
LITTLE ROCK,28114,9371
MAGNOLIA,13905,8668
MALVERN,21019,8518
MONTICELLO,8534,8080
MOUNTAIN HOME,16152,7822
NEWPORT,34754,7863
NORTH LITTLE RO,26258,8262
PARAGOULD,19849,8537
PINE BLUFF,38763,9617
POCAHONTAS,10970,8766
ROGERS,24424,7758
RUSSELLVILLE,25056,8563
SEARCY,21501,8092
SHERWOOD,22923,7783
SILOAM SPRINGS,25230,9098
SPRINGDALE,38139,8317
WEST MEMPHIS,36375,10878
