city,avgCoveredCharges,averagePayments
BATESVILLE,14793,3432
BENTON,13317,2995
CONWAY,6997,3038
DANVILLE,3474,2962
EL DORADO,16517,3317
FAYETTEVILLE,13952,3121
FORT SMITH,10876,3047
HARRISON,12262,3272
HOT SPRINGS,19953,3215
JONESBORO,9390,3276
LITTLE ROCK,12212,3370
MOUNTAIN HOME,7713,2959
NEWPORT,21099,3133
NORTH LITTLE RO,10970,3240
PARAGOULD,7403,3161
POCAHONTAS,6162,3389
ROGERS,12382,2979
RUSSELLVILLE,15132,3301
SEARCY,9636,3463
SHERWOOD,11997,3060
SILOAM SPRINGS,8830,3457
SPRINGDALE,21729,3278
VAN BUREN,12657,3006
WEST MEMPHIS,13601,3962
