city,avgCoveredCharges,averagePayments
BELTON,30308,6876
BLUE SPRINGS,39028,7348
BOLIVAR,20824,8267
BRANSON,25668,7025
BRIDGETON,30754,7792
CAPE GIRARDEAU,37418,7692
CHESTERFIELD,21413,6991
COLUMBIA,26846,8169
CRYSTAL CITY,14934,7268
FARMINGTON,18306,7241
FENTON,24704,6698
HANNIBAL,21131,8336
INDEPENDENCE,46268,8463
JEFFERSON CITY,23135,7680
JOPLIN,36106,7719
KANSAS CITY,41862,9681
KENNETT,24233,6914
KIRKSVILLE,38635,9703
LAKE SAINT LOUI,24513,7047
LEBANON,18398,8755
LEES SUMMIT,54832,7652
LIBERTY,22877,7368
MEXICO,13612,7248
MOBERLY,38193,9015
NORTH KANSAS CI,25690,7005
O FALLON,17511,6711
OSAGE BEACH,21999,8589
POPLAR BLUFF,49717,8236
RICHMOND HEIGHT,31487,10278
ROLLA,35398,9902
SAINT CHARLES,29216,7871
SAINT JOSEPH,27309,10162
SAINT LOUIS,32848,9073
SAINT PETERS,19841,6791
SEDALIA,17203,7064
SIKESTON,34415,8548
SPRINGFIELD,23241,8070
SULLIVAN,12182,8266
TOWN AND COUNTR,21386,6741
WARRENSBURG,19415,10938
WASHINGTON,26978,7101
WEST PLAINS,14832,7794
