city,avgCoveredCharges,averagePayments
BRIDGETON,32976,8696
CAPE GIRARDEAU,23250,8544
CHESTERFIELD,24068,8190
COLUMBIA,36608,10785
CRYSTAL CITY,13971,7129
FENTON,25590,9091
INDEPENDENCE,45702,8442
JOPLIN,49407,9740
KANSAS CITY,57184,10717
LAKE SAINT LOUI,28161,8449
LIBERTY,25236,8251
NORTH KANSAS CI,25139,8053
OSAGE BEACH,25712,10377
POPLAR BLUFF,66209,11705
RICHMOND HEIGHT,36220,12514
SAINT CHARLES,27435,8423
SAINT JOSEPH,30142,12451
SAINT LOUIS,32252,9750
SAINT PETERS,20468,7593
SPRINGFIELD,34040,9372
WEST PLAINS,17045,8890
