city,avgCoveredCharges,averagePayments
ANDOVER,6380,3507
ARKANSAS CITY,5837,4827
BURLINGTON,4901,5750
COFFEYVILLE,7954,3504
DODGE CITY,13337,4257
EL DORADO,13044,4340
EMPORIA,8838,4162
FORT SCOTT,24559,4355
GARDEN CITY,11865,6001
GREAT BEND,9301,3911
HAYS,16267,4841
HUTCHINSON,12146,4421
INDEPENDENCE,22509,4700
JUNCTION CITY,11764,4288
KANSAS CITY,22084,4901
LAWRENCE,10985,3947
LEAVENWORTH,15287,3911
LIBERAL,13769,5400
MANHATTAN,10645,3577
MCPHERSON,7326,4834
NEWTON,11848,3550
OLATHE,14335,3647
OTTAWA,10530,4289
OVERLAND PARK,22560,3808
PAOLA,9349,4554
PARSONS,8118,4113
PITTSBURG,13960,3958
SALINA,13560,4095
SHAWNEE MISSION,19314,3757
TOPEKA,12428,4078
WELLINGTON,6280,4736
WICHITA,17610,3949
