city,avgCoveredCharges,averagePayments
BURLINGTON,7178,5974
DODGE CITY,20804,5522
EL DORADO,15598,4562
ELKHART,6036,4887
EMPORIA,11669,4545
FORT SCOTT,16437,4604
GARDEN CITY,12585,6372
HAYS,19946,5048
HUTCHINSON,14344,4701
JUNCTION CITY,13228,4459
KANSAS CITY,18264,4583
LAWRENCE,10287,4230
LEAVENWORTH,13755,4067
LIBERAL,16200,5875
MANHATTAN,17211,3866
MCPHERSON,10178,5036
NEWTON,18145,3733
OLATHE,18930,3915
OTTAWA,12923,4834
OVERLAND PARK,22756,4561
PARSONS,7920,4243
PITTSBURG,15482,4158
SALINA,16128,4217
SHAWNEE MISSION,20163,4025
TOPEKA,17649,4490
ULYSSES,15521,7044
WICHITA,17270,4597
