city,avgCoveredCharges,averagePayments
APPLETON,26223,12771
BARABOO,31924,14258
BEAVER DAM,45018,13031
BELOIT,63729,13228
BROOKFIELD,43454,12874
BURLINGTON,48088,12884
CHIPPEWA FALLS,44188,14726
EAU CLAIRE,32588,12934
ELKHORN,52427,14608
FOND DU LAC,38836,12907
FORT ATKINSON,31385,12484
FRANKLIN,41005,11790
GLENDALE,41884,13219
GRAFTON,48929,11557
GREEN BAY,36365,13359
HARTFORD,46306,12522
JANESVILLE,52599,14085
KENOSHA,49832,14397
LA CROSSE,29321,14025
MADISON,36197,16436
MANITOWOC,39980,13231
MARINETTE,45302,12583
MARSHFIELD,47333,16661
MENOMONEE FALLS,38516,12437
MEQUON,47391,12608
MILWAUKEE,47695,16062
MONROE,40726,13298
NEENAH,24070,12403
OCONOMOWOC,41000,12984
OSHKOSH,30450,12715
PORTAGE,45979,14987
PRAIRIE DU SAC,25058,14547
RACINE,27775,14442
RHINELANDER,25952,13611
RICE LAKE,28311,12613
SHEBOYGAN,41893,12395
STEVENS POINT,25625,12342
SUMMIT,39455,12513
TWO RIVERS,39393,16189
WATERTOWN,36255,14569
WAUKESHA,39546,13540
WAUSAU,33097,12656
WEST ALLIS,56296,13297
WEST BEND,33775,11906
WESTON,33143,12350
WISCONSIN RAPID,22885,13838
WOODRUFF,33764,15094
