city,avgCoveredCharges,averagePayments
ALTON,17290,3022
ARLINGTON HEIGH,16472,3420
AURORA,28963,3861
BARRINGTON,12899,3328
BELLEVILLE,14703,3204
BERWYN,15001,4224
BLOOMINGTON,15624,3090
BLUE ISLAND,14895,3930
BOLINGBROOK,27886,4918
CARBONDALE,12267,3461
CENTRALIA,12028,3516
CENTREVILLE,14036,4221
CHICAGO,17142,4962
DECATUR,15127,3508
DEKALB,15262,3261
DIXON,15917,3473
DOWNERS GROVE,16867,3370
EFFINGHAM,8259,2966
ELGIN,20821,3637
ELK GROVE VILLA,21260,3311
ELMHURST,19045,3433
EVANSTON,19933,4470
EVERGREEN PARK,17932,4042
GALESBURG,16960,3928
GENEVA,23833,3191
GLENDALE HEIGHT,23700,4076
GRANITE CITY,28623,3737
HARVEY,16743,3623
HAZEL CREST,15290,4035
HERRIN,15211,3147
HINSDALE,20169,4326
HOFFMAN ESTATES,20465,3461
JERSEYVILLE,6798,3387
JOLIET,22519,3617
KANKAKEE,16441,3887
LA GRANGE,20200,3692
LAKE FOREST,16987,3218
LIBERTYVILLE,22384,3771
MARION,26070,3863
MARYVILLE,13532,3003
MAYWOOD,16171,5443
MCHENRY,14632,3596
MELROSE PARK,34228,3313
MORRIS,17588,4528
MOUNT VERNON,8758,3167
NAPERVILLE,21037,3185
NEW LENOX,15562,3633
NORMAL,10833,3521
OAK FOREST,10999,3848
OAK LAWN,16155,4843
OAK PARK,15260,4147
OLNEY,14422,3297
OLYMPIA FIELDS,13297,3997
PALOS HEIGHTS,17720,3269
PARK RIDGE,14418,4232
PEORIA,16338,3683
PERU,12609,3496
QUINCY,17771,3984
ROCK ISLAND,8067,3108
ROCKFORD,16243,4401
SILVIS,8658,3171
SKOKIE,16155,4008
SPRING VALLEY,11174,3063
SPRINGFIELD,12645,3581
STERLING,18111,3248
URBANA,16259,3759
WAUKEGAN,21466,4085
WINFIELD,25500,3468
WOODSTOCK,15891,3336
