city,avgCoveredCharges,averagePayments
ANDERSON,20486,9536
AVON,31219,9334
BEECH GROVE,29673,10428
BLOOMINGTON,27696,9844
COLUMBUS,24721,10938
CROWN POINT,34993,10617
DANVILLE,34619,11332
DYER,50006,12773
ELKHART,33553,10329
EVANSVILLE,37626,9911
FORT WAYNE,39340,10778
GARY,34573,12669
GOSHEN,34427,9429
HAMMOND,44248,12892
HOBART,43106,11618
INDIANAPOLIS,36967,12510
JASPER,14144,9234
JEFFERSONVILLE,27719,10466
LA PORTE,49446,10264
LAFAYETTE,36776,9926
LAWRENCEBURG,27544,9381
MADISON,20036,9407
MARION,18228,9601
MICHIGAN CITY,27617,11188
MISHAWAKA,32656,12320
MUNCIE,43770,11626
MUNSTER,39796,11016
NEW ALBANY,38623,10358
NEWBURGH,39237,10855
NOBLESVILLE,29197,9853
PLYMOUTH,23752,10207
RICHMOND,20845,11800
SOUTH BEND,27309,11006
TERRE HAUTE,40619,11188
VALPARAISO,46027,10799
VINCENNES,23218,9256
