city,avgCoveredCharges,averagePayments
ANAHEIM,185162,34949
ARCADIA,212475,42534
BAKERSFIELD,210482,37539
BANNING,136134,41168
BRAWLEY,135051,42515
BURBANK,499678,54593
CAMARILLO,296837,49010
CASTRO VALLEY,252427,49201
CHICO,355680,60161
CHULA VISTA,191775,33744
CONCORD,332309,48156
CORONA,150420,38307
COVINA,96768,39694
CULVER CITY,258363,31891
DALY CITY,517957,73408
DELANO,110120,46181
ESCONDIDO,239094,41766
EUREKA,223054,41827
FOUNTAIN VALLEY,282389,47602
FREMONT,918023,119113
FRESNO,186016,47069
FULLERTON,331853,58668
GARDEN GROVE,185940,46587
GARDENA,120023,38468
GLENDALE,396432,61932
GREENBRAE,286543,50357
HANFORD,156974,41305
HAWAIIAN GARDEN,178585,37854
HAYWARD,355396,63218
HEMET,122541,34545
INGLEWOOD,237400,42901
LA MESA,209969,39266
LA PALMA,175780,57752
LAKEWOOD,146554,28893
LANCASTER,155889,46472
LOMA LINDA,268793,56623
LONG BEACH,255388,47045
LOS ANGELES,312072,56210
LYNWOOD,224141,56567
MERCED,222687,45867
MISSION HILLS,342604,43682
MODESTO,424477,46383
MONTEREY,329906,85748
MONTEREY PARK,446155,56330
MURRIETA,140606,37885
NEWPORT BEACH,163385,40104
NORTHRIDGE,244978,42912
OAKLAND,308097,56649
OCEANSIDE,232635,46543
OXNARD,272778,43898
PALMDALE,209122,37337
PASADENA,322956,53180
PLEASANTON,329367,55696
POMONA,328055,44486
PORTERVILLE,146837,39465
POWAY,219389,40451
RANCHO MIRAGE,312981,34921
REDDING,272557,42017
REDLANDS,139766,32680
RIVERSIDE,312976,49653
SACRAMENTO,267179,49754
SALINAS,280786,80841
SAN BERNARDINO,174696,36090
SAN DIEGO,178170,43834
SAN FRANCISCO,344920,68260
SAN GABRIEL,302159,44481
SAN JOSE,346744,63709
SAN PABLO,298014,51213
SANTA MONICA,203493,44569
SANTA ROSA,259351,45243
SHERMAN OAKS,175028,37554
STANFORD,929119,156158
STOCKTON,281917,46708
SUN VALLEY,98849,45380
TARZANA,335322,42804
TORRANCE,349299,48497
TULARE,121909,42280
UPLAND,130658,26472
VAN NUYS,144049,39399
VISALIA,146980,41232
WALNUT CREEK,482622,87229
WEST HILLS,361893,41182
WHITTIER,239863,33862
