city,avgCoveredCharges,averagePayments
ALAMEDA,28341,6970
ALHAMBRA,34563,7930
ANAHEIM,34470,6418
ANTIOCH,39860,7756
APPLE VALLEY,33031,6229
ARCADIA,35074,6503
ARCATA,22399,5864
ARROYO GRANDE,22541,5541
AUBURN,27407,5788
BAKERSFIELD,29766,6473
BELLFLOWER,25967,7872
BERKELEY,42254,9324
BLYTHE,23797,9356
BRAWLEY,21550,7181
BURBANK,49289,6267
BURLINGAME,29656,6365
CAMARILLO,32748,5337
CARMICHAEL,39202,7708
CASTRO VALLEY,37798,7453
CHICO,27020,5570
CHINO,19370,6598
CHULA VISTA,46244,6881
CLOVIS,25225,7083
COLTON,21914,9664
CONCORD,61252,7314
CORONA,21415,6584
CORONADO,30870,5278
COSTA MESA,16144,5155
COVINA,23828,7621
CRESCENT CITY,27918,7343
CULVER CITY,36843,6551
DALY CITY,60449,7736
DELANO,19234,8222
DOWNEY,35163,7044
EL CENTRO,39398,7098
ENCINITAS,25508,5784
ESCONDIDO,29083,5731
EUREKA,30464,6986
FAIRFIELD,84484,8424
FOLSOM,30614,7477
FONTANA,11062,5184
FOUNTAIN VALLEY,39632,6837
FREMONT,65198,8158
FRENCH CAMP,26605,9334
FRESNO,24125,6807
FULLERTON,28851,5638
GARDEN GROVE,37677,8355
GARDENA,28824,7636
GILROY,53516,7930
GLENDALE,41928,7752
GLENDORA,25741,6483
GRASS VALLEY,23112,6045
GREENBRAE,57297,6990
HANFORD,23156,6565
HAWAIIAN GARDEN,26157,6729
HAYWARD,53950,8987
HEMET,15916,6075
HOLLISTER,40192,8234
HOLLYWOOD,21702,8497
HUNTINGTON BEAC,18692,5721
HUNTINGTON PARK,23861,8332
INDIO,48120,7735
INGLEWOOD,30880,7055
JACKSON,23435,6822
JOSHUA TREE,27202,6953
LA JOLLA,30270,6023
LA MESA,27383,5957
LA PALMA,21466,7042
LAGUNA HILLS,25816,6195
LAKEWOOD,39856,6159
LANCASTER,20798,7002
LODI,73188,6225
LOMA LINDA,23011,9324
LONG BEACH,31691,7504
LOS ALAMITOS,46083,5749
LOS ANGELES,39843,8305
LYNWOOD,26641,9210
MADERA,16589,7717
MANTECA,64466,6776
MARINA DEL REY,30011,5433
MARTINEZ,22379,14077
MARYSVILLE,37331,6599
MERCED,31514,7657
MISSION HILLS,63672,6982
MISSION VIEJO,31830,5429
MODESTO,52854,7068
MONTCLAIR,18202,7589
MONTEBELLO,13768,7238
MONTEREY,34989,6765
MONTEREY PARK,55773,8868
MORENO VALLEY,41928,8143
MOUNTAIN VIEW,46174,6664
MURRIETA,19169,5711
NAPA,39870,6958
NATIONAL CITY,27531,7420
NEWPORT BEACH,19959,5151
NORTHRIDGE,37744,6855
NORWALK,15956,7192
NOVATO,37458,6124
OAKLAND,38700,9496
OCEANSIDE,25465,6145
ORANGE,37342,7939
OROVILLE,29826,6404
OXNARD,35178,6979
PALM SPRINGS,43961,6388
PALMDALE,35402,6073
PANORAMA CITY,17639,7917
PARADISE,65931,5743
PASADENA,38948,6428
PETALUMA,42967,6870
PLACENTIA,31967,5442
PLACERVILLE,50613,6710
PLEASANTON,37383,6963
POMONA,41068,7655
PORTERVILLE,24363,6903
POWAY,24458,5220
RANCHO MIRAGE,49201,5269
RED BLUFF,26994,7169
REDDING,30031,6699
REDLANDS,31773,5904
REDWOOD CITY,52613,7054
RIDGECREST,24995,7108
RIVERSIDE,37514,7344
ROSEVILLE,28130,6101
SACRAMENTO,41295,8638
SAINT HELENA,35138,7599
SALINAS,43149,8809
SAN BERNARDINO,42146,7362
SAN DIEGO,27478,7556
SAN DIMAS,29674,5699
SAN FRANCISCO,41611,10083
SAN GABRIEL,59210,8325
SAN JOSE,48197,9040
SAN LEANDRO,36146,7392
SAN LUIS OBISPO,34997,6143
SAN PABLO,56628,7763
SAN PEDRO,33231,6184
SAN RAMON,42548,7433
SANTA ANA,29936,8697
SANTA BARBARA,22863,6286
SANTA CRUZ,46016,7423
SANTA MARIA,37604,6575
SANTA MONICA,28881,6087
SANTA ROSA,55140,8809
SEBASTOPOL,23298,6843
SHERMAN OAKS,18674,5846
SIMI VALLEY,26927,6706
SONOMA,25988,7022
SONORA,49458,8760
STANFORD,66670,11452
STOCKTON,41348,7046
SUN CITY,17534,5354
SUN VALLEY,13716,8720
TARZANA,48746,5975
TEMPLETON,71909,5784
THOUSAND OAKS,35766,6504
TORRANCE,41482,6856
TRACY,39535,6118
TULARE,17275,7175
TURLOCK,47029,6437
UKIAH,19700,6371
UPLAND,23873,5692
VALENCIA,47823,5577
VALLEJO,38200,8407
VAN NUYS,32752,7734
VENTURA,33898,7219
VICTORVILLE,23937,6295
VISALIA,25446,6680
WALNUT CREEK,51242,6952
WATSONVILLE,71344,9167
WEST HILLS,40533,5800
WHITTIER,40486,6770
