city,avgCoveredCharges,averagePayments
ALAMOSA,12546,4847
AURORA,27645,6088
BOULDER,24385,4720
BRIGHTON,19436,4958
CANON CITY,14930,4997
COLORADO SPRING,22098,4381
DELTA,10340,4209
DENVER,27222,5711
DURANGO,15746,5336
ENGLEWOOD,34710,4727
FORT COLLINS,16920,4517
FORT MORGAN,17683,5326
GLENWOOD SPRING,22093,9314
GRAND JUNCTION,15326,4548
GREELEY,16770,4818
LA JUNTA,9354,4840
LAFAYETTE,25382,4374
LAKEWOOD,23851,4507
LITTLETON,31507,4206
LONE TREE,31561,4866
LONGMONT,19238,4361
LOUISVILLE,21965,5040
LOVELAND,17081,4317
MONTROSE,8591,4447
PARKER,30051,4318
PUEBLO,23104,4473
STEAMBOAT SPRIN,10727,8167
STERLING,11337,6651
THORNTON,34439,4996
WESTMINSTER,24828,4914
WHEAT RIDGE,23617,4354
