city,avgCoveredCharges,averagePayments
ABINGTON,27660,3949
ALLENTOWN,20958,4200
ALTOONA,8369,3208
BEAVER,6379,3389
BERWICK,18401,3568
BETHLEHEM,20264,3906
BLOOMSBURG,16495,3194
BRADFORD,7395,3226
BRISTOL,30896,3573
BRYN MAWR,22117,3680
BUTLER,12025,3047
CAMP HILL,13805,3061
CANONSBURG,9996,2873
CARBONDALE,7840,3094
CARLISLE,13240,3024
CHAMBERSBURG,16471,3469
CLARION,7536,3482
CLEARFIELD,7791,3142
COAL TOWNSHIP,7121,3597
COATESVILLE,27231,3565
CONNELLSVILLE,7859,3137
DANVILLE,17904,5273
DARBY,27657,5116
DOYLESTOWN,14850,3381
DREXEL HILL,53910,4096
DUBOIS,5946,3497
EAST STROUDSBUR,15077,4115
EASTON,26283,3889
ELLWOOD CITY,6229,3166
EPHRATA,16218,3153
ERIE,22417,4104
GETTYSBURG,8062,3819
GREENSBURG,9133,3133
GREENVILLE,11840,3476
GROVE CITY,10640,3398
HANOVER,9358,3791
HARRISBURG,11169,4364
HAZLETON,14509,3275
HERSHEY,13740,5386
HONESDALE,7011,3543
HUNTINGDON,9443,3464
INDIANA,8176,3184
JOHNSTOWN,9537,3776
KITTANNING,7796,3178
LANCASTER,16239,3521
LANGHORNE,18370,3503
LANSDALE,19524,3351
LATROBE,9913,3660
LEBANON,10584,3290
LEHIGHTON,9177,3182
LEWISBURG,6262,3015
LEWISTOWN,5938,3530
LITITZ,14018,3303
MC KEESPORT,11865,4359
MCKEES ROCKS,10764,3511
MEADOWBROOK,37111,3734
MEADVILLE,10856,3429
MEDIA,22656,3395
MONONGAHELA,9749,2906
MONROEVILLE,11660,3245
MOUNT PLEASANT,9791,3115
NATRONA,9607,3218
NEW CASTLE,6930,3441
NORRISTOWN,26282,4250
PALMERTON,9152,3289
PAOLI,22481,3434
PHILA,18664,4113
PHILADELPHIA,32760,5073
PHOENIXVILLE,33064,3361
PITTSBURGH,13180,4070
POTTSTOWN,24137,3455
POTTSVILLE,9319,3566
PUNXSUTAWNEY,6115,3296
QUAKERTOWN,23113,5574
READING,13508,4300
SAINT MARYS,9334,2887
SAYRE,9408,3785
SCRANTON,13384,3417
SELLERSVILLE,13770,3480
SENECA,8585,3026
SEWICKLEY,5971,3081
SHARON,11500,3535
SOMERSET,9594,3207
STATE COLLEGE,10352,3038
UNIONTOWN,5229,3289
UPLAND,55852,4510
WARREN,10502,3721
WASHINGTON,9589,3689
WAYNESBORO,13790,3948
WAYNESBURG,9504,4094
WELLSBORO,8011,3933
WEST CHESTER,13660,3492
WEST GROVE,25892,3453
WILKES BARRE,13752,3854
WILKES-BARRE,18301,3456
WILLIAMSPORT,11268,3598
WYNNEWOOD,22912,4452
YORK,8828,4076
