city,avgCoveredCharges,averagePayments
BULLHEAD CITY,49718,5249
CASA GRANDE,20633,5658
CHANDLER,27488,5183
CHINLE,6292,6249
COTTONWOOD,28339,6951
FLAGSTAFF,27990,8196
FORT DEFIANCE,8959,7232
FORT MOHAVE,27613,5152
GILBERT,26044,4975
GLENDALE,19202,5431
GOODYEAR,17651,5511
KINGMAN,19597,4847
LAKE HAVASU CIT,25016,5202
MESA,20045,5598
ORO VALLEY,16612,4115
PARKER,14027,7312
PAYSON,40388,5604
PHOENIX,19289,6100
PRESCOTT,15384,5418
PRESCOTT VALLEY,14631,5271
SAFFORD,14429,7868
SCOTTSDALE,20435,4902
SHOW LOW,15966,6666
SIERRA VISTA,16634,6226
SUN CITY,24034,4534
SUN CITY WEST,23877,4708
TUBA CITY,14912,7146
TUCSON,18361,5766
WHITERIVER,7752,7424
YUMA,18796,5332
