city,avgCoveredCharges,averagePayments
ALMA,14728,9495
ANN ARBOR,21595,8181
BATTLE CREEK,13533,5706
BAY CITY,15391,5317
CADILLAC,11613,4798
CLARE,11638,5894
CLINTON TOWNSHI,12246,5742
COLDWATER,12700,5805
COMMERCE TOWNSH,16955,6230
DEARBORN,16380,6640
DETROIT,18345,8234
EAST CHINA,11851,5044
FARMINGTON HILL,13878,7844
FLINT,16259,7450
GRAND BLANC,18387,7133
GRAND RAPIDS,13549,7326
GRAYLING,16357,5801
GROSSE POINTE,19733,5936
HASTINGS,12899,5448
HOLLAND,15319,5648
HOWELL,14469,6278
JACKSON,26002,5557
KALAMAZOO,18056,7103
LANSING,21605,6810
LAPEER,17781,5349
LIVONIA,12154,5411
MIDLAND,14846,6227
MONROE,13092,5804
MOUNT CLEMENS,10607,6250
MOUNT PLEASANT,13350,5439
MUSKEGON,15486,6297
PETOSKEY,11214,6181
PONTIAC,13619,7274
PORT HURON,15571,5363
ROCHESTER,19410,5681
ROYAL OAK,17603,7076
SAGINAW,17497,5886
SOUTHFIELD,17566,6950
ST JOSEPH,11328,5848
STURGIS,8514,6272
TRAVERSE CITY,12916,6443
TRENTON,15677,6310
TROY,17259,5819
W BLOOMFIELD,21644,5106
WARREN,15606,6190
WAYNE,13547,5999
WYANDOTTE,11217,5858
WYOMING,14095,6553
