city,avgCoveredCharges,averagePayments
ABILENE,69284,14968
ALICE,71545,13640
AMARILLO,56980,14733
ARLINGTON,48728,15041
ATHENS,109554,16140
AUSTIN,87731,16745
BEAUMONT,82461,15535
BEDFORD,60232,14993
BRYAN,68095,15605
COLUMBUS,20719,18431
CONROE,108126,15941
CORPUS CHRISTI,90092,15920
CYPRESS,135302,18138
DALLAS,71472,19131
DECATUR,70193,16707
DENISON,56414,16129
DENTON,89184,16363
EDINBURG,71504,20816
EL PASO,112368,17765
FORT WORTH,79095,17407
FREDERICKSBURG,36274,15926
GALVESTON,45864,32089
GARLAND,53349,16470
GRAPEVINE,52787,13718
HARLINGEN,62266,17592
HOUSTON,65087,19272
HUMBLE,47793,17924
HUNTSVILLE,44220,15359
IRVING,57265,15876
KATY,60412,15772
KERRVILLE,36112,15260
KILLEEN,47658,14988
LONGVIEW,51314,14626
LUBBOCK,90146,15709
LUFKIN,86507,13750
MARSHALL,57227,15833
MCALLEN,113552,18730
MCKINNEY,86825,15508
MIDLAND,44938,15883
MISSION,57660,20250
NACOGDOCHES,71281,14420
NASSAU BAY,49302,14837
NORTH RICHLAND,76656,16506
ODESSA,35244,18090
PARIS,51258,15526
PASADENA,99421,17511
PLANO,60447,14847
RICHARDSON,35219,14804
ROCKWALL,46170,15221
ROUND ROCK,62299,14158
ROWLETT,85018,15758
SAN ANGELO,37483,14307
SAN ANTONIO,72358,17907
SAN MARCOS,62190,15645
SEGUIN,39439,15126
SHERMAN,69680,14595
STEPHENVILLE,52857,16328
SUGAR LAND,68795,14951
SULPHUR SPRINGS,28209,14170
TEMPLE,39758,17790
TEXARKANA,45264,14170
TOMBALL,69210,14438
TYLER,73748,14506
VICTORIA,69400,13813
WACO,39231,14446
WAXAHACHIE,41883,13814
WEBSTER,90726,15459
WICHITA FALLS,59573,16298
