city,avgCoveredCharges,averagePayments
AMARILLO,37328,10821
ARLINGTON,53696,9972
AUSTIN,50327,10989
BAYTOWN,48941,9906
BEAUMONT,44077,8937
BEDFORD,26662,9362
BRYAN,31178,9376
CONROE,52774,9210
CORPUS CHRISTI,39771,8802
DALLAS,46802,12070
EL PASO,83906,14880
FORT WORTH,38691,10496
GARLAND,35288,9776
GRAPEVINE,26548,8619
GREENVILLE,25822,8222
HARLINGEN,53527,11774
HOUSTON,49085,11911
HUMBLE,28844,9511
IRVING,30005,8846
KINGWOOD,67832,9453
LONGVIEW,28510,8372
LUBBOCK,49958,10331
PASADENA,61527,9519
PLANO,57553,9378
ROUND ROCK,39965,11803
SAN ANGELO,21553,8758
SAN ANTONIO,42049,10650
TEMPLE,35973,12825
TEXARKANA,45717,8172
TOMBALL,34108,8565
TYLER,76580,9392
WACO,26384,7654
WEBSTER,71346,9882
WICHITA FALLS,29173,9130
